Arrondissement,Noms du réseau,Nom du lieu culturel municipal,Adresse,Code postal,Ville,Province,Téléphone général,Site Internet,Longitude,Latitude
Côte-des-Neiges-“Notre-Dame-de-Grâce,Bibliothèque,Bibliothèque de Côte-des-Neiges,"5290, chemin de la Côte-des-Neiges",H3T 1Y2,Montréal,QC,514 872-6603,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=13",-73.6221181,45.4960623
Montréal-Nord,Bibliothèque,Bibliothèque de la Maison culturelle et communautaire de Montréal-Nord,"12002, boulevard Rolland",H1G 3W1,Montréal,QC,514 328-4000   #5626,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=8",-73.6206732,45.6163039
Ville-Marie,Bibliothèque,Bibliothèque Frontenac,"2550, rue Ontario",H2K 1W7,Montréal,QC,514 872-7888,"https://fr-fr.facebook.com/BiblioFrontenac?sk=app_2373072738,http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=16",-73.5526127,45.5330176
Le Sud-Ouest,Bibliothèque,Bibliothèque Georges-Vanier,"2450, rue Workman (angle Vinet)",H3J 1L8,Montréal,QC,514 872-2001,"https://fr-ca.facebook.com/pages/Biblioth%C3%A8que-Georges-Vanier/127518838221,http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=17",-73.5751332,45.4835213
Anjou,Bibliothèque,Bibliothèque du Haut-Anjou,"7070, rue Jarry Est",H1J 1G4,Montréal,QC,514 493-8271,"https://fr-ca.facebook.com/lesbibliothequesanjou,http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=18",-73.575989,45.6012889
Montréal-Nord,Bibliothèque,Bibliothèque Henri-Bourassa,"5400, boulevard Henri-Bourassa Est",H1G 2S9,Montréal,QC,514 328-4000   #4134,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=19",-73.6251967,45.6046707
Mercier-“Hochelaga-Maisonneuve,Bibliothèque,Bibliothèque d'Hochelaga,"1870, rue Davidson",H1W 2Y6,Montréal,QC,514 872-3666,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=20",-73.5455177,45.5427901
Verdun,Bibliothèque,Bibliothèque de l'île des Sœurs,"260, rue Elgar",H3E 1C9,Montréal,QC,514 765-7266,"https://www.facebook.com/bibliothequesdeverdun,http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=21",-73.5466571,45.4571408
L'île-Bizard-“Sainte-Geneviève,Bibliothèque,Bibliothèque de L'île-Bizard,"500, montée de l'à‰glise",H9C 1G9,Montréal,QC,514 620-6257,"https://fr-ca.facebook.com/pages/Biblioth%C3%A8que-de-L%C3%8Ele-Bizard/154367234984,http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=27",-73.8825461,45.489477
Côte-des-Neiges-“Notre-Dame-de-Grâce,Bibliothèque,Bibliothèque interculturelle,"6767, chemin de la Côte-des-Neiges",H3S 2T6,Montréal,QC,514 868-4175,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=7",-73.6369045,45.5032432
Anjou,Bibliothèque,Bibliothèque Jean-Corbeil,"7500, avenue Goncourt",H1K 3X9,Montréal,QC,514 493-8260,"https://fr-ca.facebook.com/lesbibliothequesanjou,http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=22",-73.5584036,45.6029584
Rosemont-“La Petite-Patrie,Bibliothèque,Bibliothèque de La Petite-Patrie,"6707, avenue De Lorimier",H2G 2P8,Montréal,QC,514 872-1733,"https://www.facebook.com/bibliLaPetitePatrie,http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=25",-73.5982557,45.5473848
Mercier-“Hochelaga-Maisonneuve,Bibliothèque,Bibliothèque Langelier,"6473, rue Sherbrooke Est",H1N 1C5,Montréal,QC,514 872-2640,"https://en-gb.facebook.com/biblio.langelier,http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=24",-73.5440686,45.5817147
Villeray-“Saint-Michel-“Parc-Extension,Bibliothèque,Bibliothèque Le Prévost,"7355, avenue Christophe-Colomb",H2R 2S5,Montréal,QC,514 872-1523,"https://www.facebook.com/biblioleprevost,http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=26",-73.6145768,45.5438869
Mercier-“Hochelaga-Maisonneuve,Bibliothèque,Bibliothèque Maisonneuve,"4120, rue Ontario Est",H1V 1J9,Montréal,QC,514 872-4213,"https://fr-ca.facebook.com/pages/Biblioth%C3%A8que-Maisonneuve/114960348594436,http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=29",-73.5407215,45.5510555
