Arrondissement,Noms du réseau,Nom du lieu culturel municipal,Adresse,Code postal,Ville,Province,Téléphone général,Site Internet,Longitude,Latitude
Rosemont-“La Petite-Patrie,Cinéma,Maison de la culture Rosemont-”La Petite-Patrie,"6707, avenue De Lorimier",H2G 2P8,Montréal,QC,514 872-1730,"http://ville.montreal.qc.ca/portal/page?_pageid=7357,75921580&_dad=portal&_schema=PORTAL",-73.5982708,45.5473877
Verdun,"Cinéma,Théâtre",Maison Nivard-De Saint-Dizier,"7244, boulevard LaSalle",H4H 1R4,Montréal,QC,514 765-7284,https://www.facebook.com/MaisonNivardDeSaintDizier,-73.5830645,45.4374917
Ville-Marie,Salle de spectacle,Centre d'histoire de Montréal,"335, place D'Youville",H2Y 3T1,Montréal,QC,514 872-3207,"https://www.facebook.com/chmmtl,http://ville.montreal.qc.ca/portal/page?_pageid=8757,97305573&_dad=portal&_schema=PORTAL",-73.5557225,45.5010311
Ahuntsic-Cartierville,Salle de spectacle,Église de la Visitation-de-la-Bienheureuse-Vierge-Marie,"1847, boulevard Gouin Est",H2C 1C8,Montréal,QC,514 872-8749,http://mcahuntsic.com/,-73.6603942,45.570398
Pierrefonds-Roxboro,Salle de spectacle,Église Marie-Reine-de-la-Paix,"11075, boulevard Gouin Ouest",H8Y 1X6,Montréal,QC,514 624-1100,http://ville.montreal.qc.ca/culture/eglise-marie-reine-de-la-paix,-73.8141179,45.5109589
Ville-Marie,Salle de spectacle,Église Saint-James the Apostle,"1439, rue Sainte-Catherine Ouest",H3G 1S6,Montréal,QC,514 849-7577,http://ville.montreal.qc.ca/culture/eglise-de-la-visitation-de-la-bienheureuse-vierge-marie,-73.57641,45.4965271
Rivière-des-Prairies-“Pointe-aux-Trembles,Salle de spectacle,Église Saint-Joseph,"10050, boulevard Gouin Est",H1C 1A8,Montréal,QC,514 648-4650,http://ville.montreal.qc.ca/culture/eglise-saint-joseph,-73.5620972,45.6631723
Villeray-“Saint-Michel-“Parc-Extension,Salle de spectacle,Église Saint-René-Goupil,"4251, rue du Parc-René-Goupil",H1Z 1X8,Montréal,QC,514 722-1161,https://www.facebook.com/hors.murs,-73.6117604,45.5779577
Outremont,Salle de spectacle,Galerie d'art d'Outremont,"41, avenue Saint-Just",H2V 4T7,Montréal,QC,514 495-7419,"https://www.facebook.com/pages/La-Galerie-dart-dOutremont/145351937539,http://www.galeriedartdoutremont.ca/",-73.6085011,45.517746
Anjou,Salle de spectacle,Galerie d'art Goncourt,"75000, avenue Goncourt",H1K 3X9,Anjou,QC,514 493-8200,http://ville.montreal.qc.ca/culture/galerie-dart-goncourt,-73.5504237,45.6019945
Saint-Léonard,Salle de spectacle,Galerie Port-Maurice,"8420, boulevard Lacordaire",H1R 3G5,Montréal,QC,514 328-8500   #8514,"https://fr-fr.facebook.com/bibliothequedesaintleonard,http://ville.montreal.qc.ca/portal/page?_pageid=7157,73215656&_dad=portal&_schema=PORTAL",-73.5971925,45.586646
Rosemont-“La Petite-Patrie,Salle de spectacle,Insectarium de Montréal,"4581, rue Sherbrooke Est",H1X 2B2,Montréal,QC,514 872-1400,"http://www.facebook.com/Espacepourlavie,http://espacepourlavie.ca/insectarium",-73.5579669,45.560949
Rivière-des-Prairies-“Pointe-aux-Trembles,Salle de spectacle,Maison Antoine-Beaudry,"14678, rue Notre-Dame Est",H1A 1W1,Montréal,QC,514 872-2240,"http://ville.montreal.qc.ca/portal/page?_pageid=7697,84005590&_dad=portal&_schema=PORTAL",-73.4925439,45.6770735
Montréal-Nord,Salle de spectacle,Maison Brignon-dit-Lapierre,"4251, boulevard Gouin Est",H1H 5L9,Montréal,QC,514-328-4759,"http://ville.montreal.qc.ca/portal/page?_pageid=8717,97083756&_dad=portal&_schema=PORTAL",-73.6432487,45.5994778
Montréal-Nord,Salle de spectacle,Maison culturelle et communautaire de Montréal-Nord,"12004, boulevard Rolland",H1G 3W1,Montréal,QC,514 328-4000   #5630,"http://ville.montreal.qc.ca/portal/page?_pageid=8717,97083777&_dad=portal&_schema=PORTAL",-73.6208261,45.6163953
Ville-Marie,Salle de spectacle,Maison de la culture Frontenac,"2550, rue Ontario",H2K 1W7,Montréal,QC,514 872-7882,"https://www.facebook.com/McFrontenac,http://ville.montreal.qc.ca/portal/page?_pageid=7317,78869689&_dad=portal&_schema=PORTAL",-73.5526127,45.5330176
Mercier-“Hochelaga-Maisonneuve,Salle de spectacle,Maison de la culture Maisonneuve,"4200, rue Ontario Est",H1V 1K1,Montréal,QC,514 872-2200,"http://www.facebook.com/mc.maisonneuve,http://ville.montreal.qc.ca/portal/page?_dad=portal&_pageid=95,244952&_schema=PORTAL",-73.5406738,45.5511289
Le Sud-Ouest,Salle de spectacle,Maison de la culture Marie-Uguay,"6052, boulevard Monk",H4E 3H6,Montréal,QC,514 872-2044,"http://www.facebook.com/pages/Maison-de-laculture-Marie-Uguay/124989911546,http://ville.montreal.qc.ca/portal/page?_pageid=7757,84579615&_dad=portal&_schema=PORTAL",-73.5955531,45.4577169
Mercier-“Hochelaga-Maisonneuve,Salle de spectacle,Maison de la culture Mercier,"8105, rue Hochelaga",H1L 2K9,Montréal,QC,514 872-8755,"https://www.facebook.com/maisondelaculturemercier,http://ville.montreal.qc.ca/portal/page?_pageid=95,244956&_dad=portal&_schema=PORTAL",-73.5236215,45.5954691
Rivière-des-Prairies-“Pointe-aux-Trembles,Salle de spectacle,Maison de la culture Pointe-aux-Trembles,"14001, rue Notre-Dame Est",H1A 1T9,Montréal,QC,514 872-2240,"http://ville.montreal.qc.ca/portal/page?_pageid=7697,84005590&_dad=portal&_schema=PORTAL",-73.4945492,45.6681456
Villeray-“Saint-Michel-“Parc-Extension,Salle de spectacle,Maison de la culture Villeray-“Saint-Michel-“Parc-Extension - Salle de diffusion Parc-Extension,"421, rue Saint-Roch",H3N 1K2,Montréal,QC,514 872-8124,"http://ville.montreal.qc.ca/portal/page?_pageid=8638,95881640&_dad=portal&_schema=PORTAL",-73.6284967,45.5311737
Rivière-des-Prairies-“Pointe-aux-Trembles,Salle de spectacle,Maison Pierre-Chartrand,"8000, boulevard Gouin Est",H1E 1B5,Montréal,QC,514 872-9814,"http://ville.montreal.qc.ca/portal/page?_pageid=7697,84019576&_dad=portal&_schema=PORTAL",-73.5989469,45.6424211
Lachine,Salle de spectacle,Pavillon de l'Entrepôt - Complexe culturel Guy-Descary,"2901, boulevard Saint-Joseph",H8S 4B7,Montréal,QC,514 634-3471   #302 ou 828,"https://www.facebook.com/salledespectacleentrepot,http://ville.montreal.qc.ca/portal/page?_pageid=8117,89115662&_dad=portal&_schema=PORTAL",-73.6899197,45.4335456
Saint-Léonard,Salle de spectacle,Salle d'activités - Saint-Léonard,"8420, boulevard Lacordaire",H1R 3G5,Montréal,QC,514 328-8500   #8518,"https://fr-fr.facebook.com/bibliothequedesaintleonard,http://ville.montreal.qc.ca/portal/page?_pageid=7157,73215656&_dad=portal&_schema=PORTAL",-73.5971925,45.586646
Saint-Laurent,Salle de spectacle,Salle Émile-Legault,"613, avenue Sainte-Croix",H4L 3X7,Montréal,QC,514 855-6110,"https://www.facebook.com/ArrSaintLaurent,ville.montreal.qc.ca/saint-laurent",-73.6725017,45.5116944
Rosemont-“La Petite-Patrie,Salle de spectacle,Salle Jean-Eudes,"3535, boulevard Rosemont",H1X 1K7,Montréal,QC,514 376-5740   #1140,http://www.jeaneudes.qc.ca/le-college/installation-et-location/salle-jean-eudes/,-73.5786935,45.5553361
